repo_name,repo_url,date,metadata
published-202510-durand-fast,https://github.com/computorg/published-202510-durand-fast.git,2025-10,durand-fast
published-202509-boulet-simulator,https://github.com/computorg/published-202509-boulet-simulator.git,2025-09,boulet-simulator
published-202507-jacques-count-data,https://github.com/computorg/published-202507-jacques-count-data.git,2025-07,jacques-count-data
published-202505-ferte-reservoirnet,https://github.com/computorg/published-202505-ferte-reservoirnet.git,2025-05,ferte-reservoirnet
published-202412-ambroise-spectral,https://github.com/computorg/published-202412-ambroise-spectral.git,2024-12,ambroise-spectral
published-202412-giorgi-efficient,https://github.com/computorg/published-202412-giorgi-efficient.git,2024-12,giorgi-efficient
published-202407-susmann-adaptive-conformal,https://github.com/computorg/published-202407-susmann-adaptive-conformal.git,2024-07,susmann-adaptive-conformal
published-202407-legrand-wildfires,https://github.com/computorg/published-202407-legrand-wildfires.git,2024-07,legrand-wildfires
published-202406-pishchagina-change-point,https://github.com/computorg/published-202406-pishchagina-change-point.git,2024-06,pishchagina-change-point
published-202402-lefort-peerannot,https://github.com/computorg/published-202402-lefort-peerannot.git,2024-02,lefort-peerannot
published-202402-elmasri-optimal,https://github.com/computorg/published-202402-elmasri-optimal.git,2024-02,elmasri-optimal
published-202401-adrat-repulsion,https://github.com/computorg/published-202401-adrat-repulsion.git,2024-01,adrat-repulsion
published-202312-favrot-hierarchical,https://github.com/computorg/published-202312-favrot-hierarchical.git,2023-12,favrot-hierarchical
published-202312-cleynen-local,https://github.com/computorg/published-202312-cleynen-local.git,2023-12,cleynen-local
published-202311-delattre-fim,https://github.com/computorg/published-202311-delattre-fim.git,2023-11,delattre-fim
published-202306-sanou-multiscale_glasso,https://github.com/computorg/published-202306-sanou-multiscale_glasso.git,2023-06,sanou-multiscale_glasso
published-202301-chagneux-macrolitter,https://github.com/computorg/published-202301-chagneux-macrolitter.git,2023-01,chagneux-macrolitter
published-202301-boulin-clayton,https://github.com/computorg/published-202301-boulin-clayton.git,2023-01,boulin-clayton
published-202204-deeplearning-occupancy-lynx,https://github.com/computorg/published-202204-deeplearning-occupancy-lynx.git,2022-04,deeplearning-occupancy-lynx
